"ID","u","s","m","l","luminance","chromatic_contrast","achromatic_contrast","vismodel","iluminante","substrato","saturation","mean_brightness","hue","H4","body_region","claw_type","carapace_type","identidade","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","data","size"
"X028_ll_br_c_brac_claro",0.0754860553757768,0.136971036217803,0.170671045087211,0.200526726181721,0.174800226495791,0.0647371539806984,5.7082,"Peafowl","D65","substrato_barradorio",1.22658572865322,17.2172464429857,700,0.759125483417115,"Carapace","Brachychelous","Bright","ll_28","Bright","no",NA,NA,"by_time",5.57,3.36,0.04,5.57,47.5,"15iv2022",9.1
"X028_ll_br_q_brac_claro",0.134715066936101,0.295161774093046,0.416659003062853,0.346456893884969,0.377009472273037,2.66430817371602,10.3665427,"Peafowl","D65","substrato_barradorio",0.908566082087486,35.1232848716158,554,1.05720737087065,"Claw","Brachychelous","Bright","ll_28","Bright","no",NA,NA,"by_time",5.57,3.36,0.04,5.57,47.5,"15iv2022",15.1
"X029_ll_br_c_lep_escuro",0.0580015391800819,0.101296069382321,0.122045478154538,0.185392932911257,0.138893026832638,2.03811802190157,4.3146259,"Peafowl","D65","substrato_barradorio",1.63768215515593,13.9064558716907,700,0.56525913621729,"Carapace","Leptochelous","Dark","ll_29","Dark","no",NA,NA,"by_time",0.14,0.01,0.02,0.14,50,"15iv2022",11.17
"X029_ll_br_q_lep_escuro",0.1165045047738,0.27411073850277,0.402002268964111,0.381332831875081,0.378857681301432,2.50850764015118,10.396181,"Peafowl","D65","substrato_barradorio",1.28651507153586,37.674266784862,332,-0.0990860353326558,"Claw","Leptochelous","Dark","ll_29","Dark","no",NA,NA,"by_time",0.14,0.01,0.02,0.14,50,"15iv2022",22.25
"X030_ll_br_c_brac_claro",0.0989670319217735,0.200524203330308,0.283076428934943,0.313670622352939,0.279973709493304,1.46335570807613,8.5630602,"Peafowl","D65","substrato_barradorio",1.15553911791864,26.0105970121676,700,0.748340637323473,"Carapace","Brachychelous","Bright","ll_30","Bright","no",NA,NA,"by_time",2.73,2.78,1.89,2.78,53.8,"15iv2022",9
"X030_ll_br_q_brac_claro",0.172134584610366,0.400072673102217,0.504028924017972,0.490656553043994,0.486527000610949,1.91045123960139,11.9121311,"Peafowl","D65","substrato_barradorio",1.06857590323774,48.4556750161114,329,0.266022288552882,"Claw","Brachychelous","Bright","ll_30","Bright","no",NA,NA,"by_time",2.73,2.78,1.89,2.78,53.8,"15iv2022",16.95
"X031_ll_br_c_brac_escuro",0.172096890056284,0.313531975208609,0.415391363099071,0.424785224058893,0.402724223797785,0.951721468603527,10.7664318,"Peafowl","D65","substrato_barradorio",0.593905308926189,38.7330577916862,700,0.942229065892173,"Carapace","Brachychelous","Dark","ll_31","Dark","no",NA,NA,"by_time",0.31,0.51,0.29,0.51,42.4,"15iv2022",10.69
"X031_ll_br_q_brac_escuro",0.10002415470388,0.196498970376542,0.303219815121399,0.319895684476743,0.29468769345846,1.95916778836789,8.873487,"Peafowl","D65","substrato_barradorio",1.02327415090122,30.0536439661258,339,-0.0632556239709459,"Claw","Brachychelous","Dark","ll_31","Dark","no",NA,NA,"by_time",0.31,0.51,0.29,0.51,42.4,"15iv2022",21.93
"X032_ll_br_c_brac_claro",0.13085292891326,0.227116986193424,0.269602788026692,0.26973867289243,0.262675987131194,1.682497931925,8.1765486,"Peafowl","D65","substrato_barradorio",0.929122215364792,26.0034319818454,700,1.20072176532273,"Carapace","Brachychelous","Bright","ll_32","Bright","no",NA,NA,"by_time",10.09,0.11,3.02,10.09,66.3,"15iv2022",10.05
"X032_ll_br_q_brac_claro",0.100434212655616,0.187586021972458,0.238179280717669,0.232533260346822,0.229622038436465,1.39184961395418,7.3614781,"Peafowl","D65","substrato_barradorio",1.10111870880182,25.2433141888462,332,-0.81936865160756,"Claw","Brachychelous","Bright","ll_32","Bright","no",NA,NA,"by_time",10.09,0.11,3.02,10.09,66.3,"15iv2022",19.66
"X033_ll_br_c_brac_escuro",0.084566348797701,0.156499612198388,0.178327929244066,0.228231992671932,0.190392220345669,0.739201011740298,6.2260333,"Peafowl","D65","substrato_barradorio",1.52342011783098,18.3058021948865,700,0.855223389906526,"Carapace","Brachychelous","Dark","ll_33","Dark","no",NA,NA,"by_time",0.08,0.1,0.1,0.1,61.7,"15iv2022",10.6
"X033_ll_br_q_brac_escuro",0.0767972694562911,0.176890848469558,0.27019591426912,0.276455725450434,0.260267178057633,2.61292677081606,8.1207148,"Peafowl","D65","substrato_barradorio",0.996665794324746,24.2491242620546,576,0.478443745598828,"Claw","Brachychelous","Dark","ll_33","Dark","no",NA,NA,"by_time",0.08,0.1,0.1,0.1,61.7,"15iv2022",22.22
"X034_ll_br_c_brac_claro",0.0679934075747686,0.129456534878701,0.153029534472488,0.169761789145324,0.154287561117733,0.707272590102089,4.9516811,"Peafowl","D65","substrato_barradorio",1.46668423300362,14.9562120642366,700,0.903319021243845,"Carapace","Brachychelous","Bright","ll_34","Bright","no",NA,NA,"by_time",8.3,0.6,3.72,8.3,75.6,"15iv2022",9.41
"X034_ll_br_q_brac_claro",0.0955631115500009,0.202233146766803,0.296872505017521,0.292184668573878,0.283824997727582,1.94352956819177,8.6458611,"Peafowl","D65","substrato_barradorio",1.61031599601746,31.3436646564879,327,-0.901155003853362,"Claw","Brachychelous","Bright","ll_34","Bright","no",NA,NA,"by_time",8.3,0.6,3.72,8.3,75.6,"15iv2022",19.32
"X035_ll_br_c_brac_escuro",0.0722934152904162,0.13403796895661,0.169070367136703,0.228261351182257,0.183161963346393,1.34203816715432,5.9913942,"Peafowl","D65","substrato_barradorio",1.48110837714406,17.2052665368632,679,0.742707312251458,"Carapace","Brachychelous","Dark","ll_35","Dark","no",NA,NA,"by_time",0.7,1.65,1.83,1.83,58.8,"15iv2022",9.77
"X035_ll_br_q_brac_escuro",0.0646136140242183,0.147924766735097,0.24058260834693,0.248567627370856,0.231651056228373,3.06195621504589,7.4147964,"Peafowl","D65","substrato_barradorio",1.88563996638048,25.2991590591223,327,-0.711094940913218,"Claw","Brachychelous","Dark","ll_35","Dark","no",NA,NA,"by_time",0.7,1.65,1.83,1.83,58.8,"15iv2022",19.5
