"identidade","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data","body_region","size"
"ll_78","Brachychelous","Bright","no",NA,NA,"by_time",0.2,0.25,0.08,0.25,0.0298,29.8,"17iv2022","Claw",12.4
"ll_79","Brachychelous","Dark","no",NA,NA,"by_time",3.63,0.23,0.06,3.63,0.0354,35.4,"17iv2022","Carapace",8.33
"ll_79","Brachychelous","Dark","no",NA,NA,"by_time",3.63,0.23,0.06,3.63,0.0354,35.4,"17iv2022","Claw",13.12
"ll_80","Brachychelous","Bright","no",NA,NA,"by_time",1.43,0.02,0.05,1.43,0.0236,23.6,"17iv2022","Carapace",7.88
"ll_80","Brachychelous","Bright","no",NA,NA,"by_time",1.43,0.02,0.05,1.43,0.0236,23.6,"17iv2022","Claw",10.76
"ll_81","Brachychelous","Dark","no",NA,NA,"by_time",7.52,0.35,0.03,7.52,0.0677,67.7,"30iv2022","Carapace",10.66
"ll_81","Brachychelous","Dark","no",NA,NA,"by_time",7.52,0.35,0.03,7.52,0.0677,67.7,"30iv2022","Claw",20.22
"ll_82","Brachychelous","Bright","no",NA,NA,"by_time",2.7,0.07,0.57,2.7,0.0903,90.3,"30iv2022","Carapace",10.45
"ll_82","Brachychelous","Bright","no",NA,NA,"by_time",2.7,0.07,0.57,2.7,0.0903,90.3,"30iv2022","Claw",21.18
"ll_83","Brachychelous","Dark","no",NA,NA,"by_time",8.29,1.93,6.5,8.29,0.0837,83.7,"30iv2022","Carapace",10.98
"ll_83","Brachychelous","Dark","no",NA,NA,"by_time",8.29,1.93,6.5,8.29,0.0837,83.7,"30iv2022","Claw",21.13
"ll_84","Brachychelous","Bright","no",NA,NA,"by_time",1.98,0.04,0.07,1.98,0.0744,74.4,"30iv2022","Carapace",9.61
"ll_84","Brachychelous","Bright","no",NA,NA,"by_time",1.98,0.04,0.07,1.98,0.0744,74.4,"30iv2022","Claw",19.75
"ll_85","Brachychelous","Dark","no",NA,NA,"by_time",11.19,0.2,0.14,11.19,0.0627,62.7,"30iv2022","Carapace",9.22
"ll_85","Brachychelous","Dark","no",NA,NA,"by_time",11.19,0.2,0.14,11.19,0.0627,62.7,"30iv2022","Claw",17.28
"ll_86","Brachychelous","Bright","no",NA,NA,"by_time",1.22,0.2,0.4,1.22,0.0766,76.6,"30iv2022","Carapace",10.39
"ll_86","Brachychelous","Bright","no",NA,NA,"by_time",1.22,0.2,0.4,1.22,0.0766,76.6,"30iv2022","Claw",20.29
"ll_87","Brachychelous","Dark","no",NA,NA,"by_time",1.89,2,0.09,2,0.0721,72.1,"30iv2022","Carapace",11
"ll_87","Brachychelous","Dark","no",NA,NA,"by_time",1.89,2,0.09,2,0.0721,72.1,"30iv2022","Claw",21.67
"ll_88","Brachychelous","Bright","no",NA,NA,"by_time",0.1,3.36,0.76,3.36,0.0795,79.5,"30iv2022","Carapace",9.86
"ll_88","Brachychelous","Bright","no",NA,NA,"by_time",0.1,3.36,0.76,3.36,0.0795,79.5,"30iv2022","Claw",19.69
"ll_89","Brachychelous","Dark","no",NA,NA,"by_time",0.07,4.94,1.72,4.94,0.0671,67.1,"30iv2022","Carapace",10.1
"ll_89","Brachychelous","Dark","no",NA,NA,"by_time",0.07,4.94,1.72,4.94,0.0671,67.1,"30iv2022","Claw",20.07
"ll_90","Leptochelous","Bright","no",NA,NA,"by_time",0.13,0.19,0.03,0.19,0.0483,48.3,"30iv2022","Carapace",10.55
"ll_90","Leptochelous","Bright","no",NA,NA,"by_time",0.13,0.19,0.03,0.19,0.0483,48.3,"30iv2022","Claw",19.18
"ll_91","Brachychelous","Dark","no",NA,NA,"by_time",7.95,0.18,0.02,7.95,0.0535,53.5,"30iv2022","Carapace",8.99
"ll_91","Brachychelous","Dark","no",NA,NA,"by_time",7.95,0.18,0.02,7.95,0.0535,53.5,"30iv2022","Claw",17.35
"ll_92","Brachychelous","Bright","no",NA,NA,"by_time",10.95,0.09,4.12,10.95,0.062,62,"30iv2022","Carapace",9.87
"ll_92","Brachychelous","Bright","no",NA,NA,"by_time",10.95,0.09,4.12,10.95,0.062,62,"30iv2022","Claw",20.16
"ll_93","Leptochelous","Dark","no",NA,NA,"by_time",1.65,1.88,0.09,1.88,0.0584,58.4,"30iv2022","Carapace",10.2
"ll_93","Leptochelous","Dark","no",NA,NA,"by_time",1.65,1.88,0.09,1.88,0.0584,58.4,"30iv2022","Claw",20.73
"ll_94","Brachychelous","Bright","yes",58,NA,"by_time",0.05,0.06,0.05,0.06,0.0721,72.1,"30iv2022","Carapace",9.49
"ll_94","Brachychelous","Bright","yes",58,NA,"by_time",0.05,0.06,0.05,0.06,0.0721,72.1,"30iv2022","Claw",18.07
"ll_95","Brachychelous","Dark","no",NA,NA,"by_time",4.6,1.47,3.5,4.6,0.0472,47.2,"30iv2022","Carapace",9.49
"ll_95","Brachychelous","Dark","no",NA,NA,"by_time",4.6,1.47,3.5,4.6,0.0472,47.2,"30iv2022","Claw",15.97
"ll_96","Brachychelous","Bright","no",NA,NA,"by_time",15.03,3.92,23.01,23.01,0.0836,83.6,"30iv2022","Carapace",9.72
"ll_96","Brachychelous","Bright","no",NA,NA,"by_time",15.03,3.92,23.01,23.01,0.0836,83.6,"30iv2022","Claw",19.9
"ll_97","Brachychelous","Dark","no",NA,NA,"by_time",7.66,0.04,3.85,7.66,0.0393,39.3,"30iv2022","Carapace",9.2
