"ID","claw_size","carapace_size","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data"
"ll_182",21.04,10.48,"brachy","b","no",NA,NA,"by_time",7.01,0.88,0.57,7.01,0.0645,64.5,"15vi2022"
"ll_183",16.47,9.03,"brachy","e","no",NA,NA,"by_time",0.74,2.63,0.38,2.63,0.0341,34.1,"15vi2022"
"ll_184",17.92,9.74,"lepto","b","no",NA,NA,"by_time",0.1,0.08,1.52,1.52,0.0493,49.3,"15vi2022"
"ll_185",21.47,10.1,"brachy","e","no",NA,NA,"by_time",3.36,0.01,0.14,3.36,0.0591,59.1,"15vi2022"
"ll_186",17.53,9.22,"brachy","b","no",NA,NA,"by_time",1.65,0.1,0.12,1.65,0.0274,27.4,"15vi2022"
"ll_187",15.62,9.17,"lepto","e","no",NA,NA,"by_time",1.83,2.41,0.59,2.41,0.0374,37.4,"15vi2022"
"ll_188",17.78,9.34,"brachy","b","no",NA,NA,"by_time",7.68,1.44,1.01,7.68,0.0569,56.9,"15vi2022"
"ll_189",17.11,8.77,"brachy","e","no",NA,NA,"by_time",2.65,10.69,0.6,10.69,0.0465,46.5,"15vi2022"
"ll_190",17.55,9.19,"brachy","b","no",NA,NA,"by_time",3.82,0.2,0.69,3.82,0.0661,66.1,"15vi2022"
"ll_191",16.59,9.16,"brachy","e","no",NA,NA,"by_time",12.31,1.64,0.26,12.31,0.0405,40.5,"15vi2022"
"ll_192",19.8,10.41,"brachy","b","no",NA,NA,"by_time",15.25,1.29,0.18,15.25,0.0632,63.2,"15vi2022"
"ll_193",20.35,9.89,"lepto","e","no",NA,NA,"by_time",0.28,0.85,7.58,7.58,0.0566,56.6,"15vi2022"
"ll_194",19.4,9.68,"brachy","b","no",NA,NA,"by_time",9.37,1.1,8.51,9.37,0.0606,60.6,"15vi2022"
